,_id,similarity_scores
91,91,"[(91, 1.0000001), (989, 0.79351354), (752, 0.78058034), (918, 0.7749916), (788, 0.7735959), (392, 0.7727051), (620, 0.75906706), (670, 0.7534931), (786, 0.7467518), (732, 0.74574316)]"
92,92,"[(92, 0.9999999), (684, 0.75000155), (462, 0.70237017), (423, 0.69267297), (39, 0.68614537), (944, 0.6844683), (449, 0.67913043), (74, 0.67674136), (748, 0.67544895), (140, 0.67357045)]"
93,93,"[(93, 0.99999994), (963, 0.84159654), (192, 0.82620347), (846, 0.8176008), (856, 0.8156163), (39, 0.81053627), (695, 0.8048402), (445, 0.797233), (762, 0.7944964), (444, 0.78990185)]"
94,94,"[(94, 0.9999998), (866, 0.7706009), (670, 0.7289703), (497, 0.7280451), (804, 0.72232074), (656, 0.7207619), (736, 0.7168862), (726, 0.69663787), (365, 0.6954646), (786, 0.6938763)]"
95,95,"[(95, 0.9999999), (734, 0.68307054), (443, 0.64933634), (668, 0.6430959), (631, 0.6407125), (312, 0.63422984), (637, 0.63334674), (585, 0.63174754), (754, 0.6308483), (741, 0.6227426)]"
96,96,"[(96, 1.0000001), (843, 0.83941466), (335, 0.8328941), (768, 0.82536966), (718, 0.8223623), (642, 0.81470025), (931, 0.8145958), (165, 0.80838156), (853, 0.8066002), (431, 0.80477285)]"
97,97,"[(97, 1.0), (577, 0.78721607), (428, 0.7692223), (350, 0.7658735), (670, 0.75378996), (374, 0.73735815), (656, 0.73443794), (653, 0.7287339), (210, 0.72799563), (906, 0.727635)]"
98,98,"[(98, 0.9999999), (533, 0.88817465), (656, 0.82556), (455, 0.8220267), (788, 0.8171205), (427, 0.8150462), (997, 0.8098959), (724, 0.80972886), (442, 0.80925244), (689, 0.80344677)]"
99,99,"[(99, 1.0000001), (338, 0.73934877), (159, 0.69616646), (88, 0.67396706), (878, 0.6613052), (194, 0.66108644), (590, 0.66002965), (143, 0.65801805), (947, 0.65736693), (810, 0.65506566)]"
100,100,"[(100, 0.9999999), (878, 0.7397741), (880, 0.72231853), (64, 0.72121763), (578, 0.72121674), (793, 0.72017384), (360, 0.7112462), (640, 0.7038359), (90, 0.70368284), (935, 0.7029822)]"
101,101,"[(101, 1.0), (749, 0.757669), (389, 0.75054), (958, 0.73316365), (698, 0.7199409), (744, 0.71704614), (382, 0.71511304), (740, 0.71367407), (687, 0.71345353), (557, 0.7117259)]"
102,102,"[(102, 1.0000001), (564, 0.7904059), (5, 0.7377068), (858, 0.7359061), (233, 0.733274), (294, 0.72457516), (43, 0.721646), (545, 0.7162952), (691, 0.7138486), (614, 0.71288496)]"
103,103,"[(103, 1.0), (416, 0.853534), (164, 0.84693474), (194, 0.8088826), (55, 0.80597335), (177, 0.80463636), (37, 0.80005944), (308, 0.79956734), (255, 0.7992259), (977, 0.79912317)]"
104,104,"[(104, 1.0), (268, 0.9075789), (74, 0.7635043), (784, 0.7566683), (84, 0.7429553), (509, 0.7411118), (494, 0.7375537), (818, 0.73529255), (909, 0.73337126), (278, 0.7323568)]"
